Country,Animal Products,Animal fats,Cereals Excluding Beer,Eggs,"Fish Seafood",Fruits Excluding Wine,Milk Excluding Butter,Vegetal Products,Vegetable Oils,Vegetables,Obesity
Sao Tome and Principe,7.3284,0.6241,2.9864,0.1074,1.4361,1.2013,0.9731,42.6616,17.1666,0.0738,10.6
Saudi Arabia,15.3954,2.6475,5.2126,0.9019,0.4122,0.4219,4.4125,34.607,25.4182,0.1891,35
Senegal,6.104,0.7876,5.7374,0.258,0.7129,0.0815,0.9845,43.9028,33.0391,0.1901,7.4
Serbia,33.0354,4.0698,2.1213,1.5195,0.3396,0.578,8.7594,16.9646,10.1061,0.3635,23.5
Sierra Leone,5.9931,0.1678,3.2063,0.2983,1.2117,0.261,2.1996,44.0022,34.0479,0.2703,7.5
Slovakia,25.493,14.9373,2.0003,1.1183,0.2331,0.1386,3.2697,24.507,20.1474,0.1292,22.4
Slovenia,26.6163,10.0008,3.5771,1.1287,0.3693,0.4606,6.4155,23.3878,13.8684,0.2697,22.5
Solomon Islands,13.6649,3.4726,3.0802,0.2943,2.5505,0.569,0.7553,36.3351,11.752,0.0785,20.5
South Africa,19.7743,0.8542,6.4308,1.0982,0.2379,0.0854,3.1056,30.2257,21.7877,0.1647,27
Spain,19.5253,2.4641,1.078,1.2521,1.0814,0.375,5.3601,30.4731,25.6922,0.2611,27.1
Sri Lanka,10.1348,0.3195,2.7159,1.1682,2.2766,0.5791,4.2336,39.8602,6.7,0.2396,5.4
Sudan,20.1511,1.7092,5.6998,0.2347,0.0587,0.3961,10.8055,29.8489,19.0214,0.3521,7.4
Suriname,14.8751,0.7849,3.1593,0.9601,0.772,0.2335,1.6867,35.1281,26.9089,0.2789,26.5
Sweden,28.4111,9.7148,1.9481,1.3741,0.8778,0.3556,7.5926,21.5852,16.663,0.2296,22.1
Switzerland,28.1054,6.2293,1.1241,0.93,0.4048,0.3379,8.3804,21.8962,17.3898,0.2141,21.2
Tajikistan,12.6827,0.0348,10.2035,0.5741,0.0174,0.3566,4.6799,37.3173,22.7557,0.9395,12.6
Thailand,19.5718,1.666,2.538,2.8961,1.7984,0.506,1.4636,30.4165,20.2336,0.2102,10.8
Timor-Leste,17.8988,2.0345,10.2168,0.2446,0.7893,1.3007,0.1779,32.1067,15.9644,0.1668,2.9
Togo,5.3063,0.5351,8.9093,0.1962,0.5708,0.0624,0.544,44.6892,30.643,0.1516,7.1
Trinidad and Tobago,23.3455,5.3472,2.5134,0.6185,0.7816,0.3205,5.1279,26.6573,18.4369,0.1799,19.7
Tunisia,12.7886,2.6543,3.2543,0.9255,0.5085,0.4068,4.5764,37.2114,28.1552,0.7627,27.3
Turkey,13.6766,2.9392,2.0428,0.825,0.1428,0.3292,5.8586,36.3175,27.8172,0.6703,32.2
Turkmenistan,32.6886,6.4856,2.9938,1.106,0.1274,0.3069,7.4411,17.3085,11.761,0.4459,17.5
Uganda,12.3139,0.9627,3.4479,0.2239,0.862,0.7164,4.0188,37.6917,25.0532,0.1567,4.1
Ukraine,26.91,5.494,3.0837,2.4481,0.516,0.3084,8.691,23.09,17.4638,0.5223,26.1
United Arab Emirates,21.4437,4.0036,3.0418,1.1407,0.8108,0.6766,5.86,28.5563,14.924,0.4306,29.9
United Kingdom,25.8633,4.2615,1.4678,1.0778,0.5176,0.4219,7.353,24.1332,18.3507,0.2127,29.5
United Republic of Tanzania,7.5907,1.5442,4.214,0.0744,0.4558,0.2698,2.5023,42.4093,27.0605,0.2419,7.1
United States of America,21.2045,3.3013,1.2829,1.25,0.3887,0.4426,6.8359,28.797,23.6117,0.1944,37.3
Uruguay,25.5069,3.4811,2.5698,1.2804,0.3281,0.1777,8.0603,24.4908,18.8819,0.2096,28.9
Uzbekistan,25.9903,2.4884,2.7168,1.0639,0.0962,0.583,11.805,24.0067,18.4589,0.8535,15.3
Vanuatu,14.9179,1.9531,4.1249,0.3509,1.4343,0.3052,1.1495,35.0847,6.4849,0.1424,23.5
Venezuela (Bolivarian Republic of),16.3261,2.2673,2.5449,0.6555,0.5707,0.964,5.5217,33.6855,29.5211,0.1851,25.2
Vietnam,33.2484,3.8238,3.7155,0.7839,1.1217,0.4079,0.752,16.7548,5.6211,0.6373,2.1
Yemen,12.5401,2.0131,11.5271,0.5514,0.3847,0.2564,1.3463,37.4535,23.6312,0.1667,14.1
Zambia,9.6005,1.6113,14.3225,0.6266,1.007,0.1343,1.2756,40.3939,15.2848,0.1567,6.5
Zimbabwe,10.3796,2.9543,9.7922,0.3682,0.2455,0.0614,2.104,39.6248,26.9396,0.0789,12.3
